Member_number,Date,itemDescription
4319,29-05-2014,tropical fruit
3721,18-11-2014,citrus fruit
3060,31-07-2014,tropical fruit
2365,02-06-2014,beef
3094,18-11-2014,herbs
4913,06-01-2014,onions
2468,11-08-2014,yogurt
2726,30-11-2014,canned beer
3247,27-09-2014,whole milk
4787,18-12-2014,rolls/buns
4024,22-11-2014,yogurt
1658,03-01-2014,citrus fruit
1624,18-08-2014,other vegetables
2316,17-02-2014,bottled beer
2421,13-02-2014,pastry
1947,16-07-2014,whole milk
4815,24-01-2014,cat food
4360,14-12-2014,citrus fruit
3629,02-05-2014,grapes
3863,12-09-2014,cake bar
4517,26-10-2014,bottled water
1145,05-06-2014,brown bread
4391,24-10-2014,pork
3205,03-06-2014,other vegetables
1560,16-05-2014,white bread
1602,30-09-2014,root vegetables
3084,22-01-2014,citrus fruit
2982,05-01-2014,coffee
2730,10-11-2014,specialty bar
3805,02-01-2014,semi-finished bread
4711,21-06-2014,whole milk
3344,02-05-2014,tropical fruit
3583,09-02-2014,root vegetables
4864,27-12-2014,meat
4305,17-11-2014,soft cheese
4316,05-10-2014,beef
2222,31-07-2014,sugar
4257,04-06-2014,other vegetables
1923,02-06-2014,domestic eggs
1139,20-10-2014,pork
2862,09-12-2014,bottled water
4279,27-01-2014,berries
1383,25-08-2014,other vegetables
2331,13-10-2014,hygiene articles
3673,09-05-2014,bottled water
4556,12-10-2014,yogurt
3219,21-01-2014,shopping bags
1338,03-04-2014,meat
4261,28-09-2014,other vegetables
4040,27-06-2014,yogurt
3582,27-05-2014,rolls/buns
1938,21-08-2014,tropical fruit
2247,19-11-2014,salt
4789,11-02-2014,beef
4804,26-11-2014,butter milk
3781,06-07-2014,tropical fruit
3902,19-06-2014,root vegetables
3056,31-03-2014,liver loaf
2106,06-09-2014,other vegetables
1839,20-03-2014,newspapers
4933,03-03-2014,meat
3338,18-11-2014,soda
3442,11-11-2014,citrus fruit
2175,17-03-2014,rolls/buns
3808,19-02-2014,curd
1951,23-06-2014,frozen fish
3010,21-01-2014,rolls/buns
1379,04-06-2014,whole milk
3246,28-12-2014,napkins
4649,05-10-2014,rolls/buns
3560,25-11-2014,berries
4532,30-11-2014,packaged fruit/vegetables
1767,08-11-2014,whole milk
2942,31-10-2014,butter
1473,01-05-2014,hamburger meat
1831,13-12-2014,other vegetables
4137,14-09-2014,other vegetables
3094,15-12-2014,domestic eggs
1404,26-01-2014,whole milk
2389,27-01-2014,hamburger meat
2349,03-06-2014,soda
4746,12-02-2014,hygiene articles
3009,27-12-2014,brown bread
4736,10-02-2014,other vegetables
3133,01-04-2014,whipped/sour cream
3150,31-03-2014,brown bread
3707,10-12-2014,pork
2442,24-02-2014,other vegetables
2244,09-11-2014,citrus fruit
2680,23-11-2014,rolls/buns
3006,20-06-2014,other vegetables
4792,16-10-2014,bottled water
3716,27-07-2014,packaged fruit/vegetables
4847,01-02-2014,soda
1497,26-05-2014,packaged fruit/vegetables
4235,13-05-2014,whole milk
3686,03-03-2014,whole milk
3866,19-10-2014,root vegetables
1827,27-11-2014,other vegetables
2133,27-04-2014,tropical fruit
4039,30-04-2014,whole milk
1612,25-12-2014,citrus fruit
1967,07-10-2014,other vegetables
4953,23-10-2014,frozen dessert
3893,16-05-2014,soda
3217,12-08-2014,soda
2712,09-06-2014,other vegetables
4525,22-06-2014,beef
3665,15-11-2014,soda
2708,25-05-2014,coffee
3046,28-02-2014,onions
3437,19-09-2014,butter milk
1954,13-06-2014,processed cheese
2781,08-10-2014,chicken
1129,18-04-2014,flower (seeds)
3400,15-02-2014,rolls/buns
2133,08-11-2014,tropical fruit
4622,11-09-2014,sliced cheese
2796,21-09-2014,rolls/buns
4925,04-10-2014,rolls/buns
4760,16-12-2014,other vegetables
1272,27-07-2014,specialty bar
3165,07-05-2014,pip fruit
3839,13-09-2014,soft cheese
1110,30-05-2014,margarine
2744,20-03-2014,butter milk
1685,03-06-2014,soda
3435,08-11-2014,rolls/buns
3316,10-09-2014,rolls/buns
3284,01-04-2014,canned fish
1896,20-11-2014,pip fruit
4538,22-06-2014,soda
3072,18-06-2014,instant coffee
2102,21-07-2014,butter
4685,29-09-2014,rolls/buns
3617,28-07-2014,brown bread
1013,15-07-2014,other vegetables
4616,29-07-2014,whole milk
2561,19-04-2014,whole milk
2357,25-05-2014,bottled beer
3423,11-07-2014,bottled water
3259,12-03-2014,other vegetables
4764,29-05-2014,soap
1548,04-05-2014,other vegetables
3209,15-03-2014,meat
1562,30-07-2014,snack products
3849,15-12-2014,root vegetables
4168,03-12-2014,turkey
3979,26-02-2014,canned fish
1665,20-08-2014,curd cheese
1517,03-09-2014,root vegetables
4894,05-07-2014,whole milk
3058,12-03-2014,newspapers
4036,20-06-2014,canned beer
3240,31-10-2014,canned beer
3784,04-03-2014,soda
4290,30-06-2014,dessert
3264,27-02-2014,brown bread
1092,10-12-2014,yogurt
1035,25-06-2014,whole milk
1985,06-06-2014,butter milk
2569,14-10-2014,specialty bar
3237,14-10-2014,specialty bar
1966,18-08-2014,canned beer
4935,19-03-2014,soda
1569,19-01-2014,rolls/buns
1964,01-12-2014,soda
4743,31-05-2014,soda
1353,25-06-2014,other vegetables
3808,18-11-2014,other vegetables
2944,19-12-2014,frozen vegetables
1327,26-09-2014,roll products 
3201,28-12-2014,whole milk
3263,17-04-2014,pasta
4799,28-06-2014,other vegetables
3674,26-04-2014,shopping bags
2453,05-02-2014,newspapers
2274,14-08-2014,shopping bags
4705,20-10-2014,tropical fruit
1580,11-09-2014,salty snack
3509,02-09-2014,beef
4999,09-04-2014,semi-finished bread
2803,10-08-2014,rolls/buns
2448,15-07-2014,soda
4823,16-09-2014,kitchen towels
3084,27-10-2014,rolls/buns
2928,12-12-2014,chocolate
2990,31-05-2014,cream cheese 
2440,08-07-2014,whole milk
1896,13-02-2014,soda
1204,13-04-2014,soda
4119,24-10-2014,cream cheese 
1978,22-02-2014,yogurt
1572,03-07-2014,rolls/buns
4562,06-11-2014,newspapers
1032,26-01-2014,whipped/sour cream
4124,31-08-2014,sausage
1566,05-11-2014,berries
1751,15-02-2014,whole milk
4104,04-09-2014,other vegetables
2026,14-11-2014,misc. beverages
2538,01-03-2014,berries
2620,09-05-2014,dessert
2489,10-06-2014,coffee
4650,07-10-2014,whole milk
3525,09-07-2014,tropical fruit
3614,20-09-2014,napkins
2301,08-11-2014,whole milk
2294,14-01-2014,whole milk
1152,26-12-2014,curd cheese
4887,12-11-2014,herbs
1995,29-10-2014,pet care
1725,21-09-2014,dessert
1258,04-05-2014,yogurt
4376,02-05-2014,butter
2993,17-11-2014,beef
2534,09-02-2014,beef
3757,23-10-2014,bottled water
3689,09-02-2014,long life bakery product
4130,04-03-2014,soda
1018,27-05-2014,berries
3027,29-04-2014,other vegetables
3959,21-05-2014,rolls/buns
4453,01-12-2014,rolls/buns
3427,11-05-2014,beverages
4733,21-08-2014,beef
3599,23-12-2014,white bread
1190,25-11-2014,other vegetables
2298,17-12-2014,citrus fruit
2177,02-10-2014,female sanitary products
1779,07-06-2014,long life bakery product
3721,02-08-2014,specialty chocolate
2256,24-11-2014,pastry
4671,16-07-2014,other vegetables
4299,26-02-2014,citrus fruit
4679,08-03-2014,pip fruit
2872,04-08-2014,whole milk
3517,27-11-2014,specialty bar
3194,26-10-2014,cake bar
2860,08-07-2014,other vegetables
1296,14-12-2014,rice
3041,04-07-2014,chocolate marshmallow
2690,02-01-2014,rolls/buns
4531,17-12-2014,chocolate marshmallow
1407,15-07-2014,frozen vegetables
2271,16-07-2014,chicken
4213,06-11-2014,coffee
2743,09-08-2014,beef
4879,01-05-2014,dessert
3425,05-01-2014,citrus fruit
3175,18-11-2014,other vegetables
1868,25-02-2014,other vegetables
3669,14-10-2014,chocolate marshmallow
4623,05-07-2014,rolls/buns
3232,01-07-2014,dessert
1499,22-02-2014,spread cheese
3502,19-05-2014,other vegetables
2785,30-12-2014,chicken
4762,07-02-2014,newspapers
1605,17-08-2014,white wine
4786,30-11-2014,soda
3786,22-10-2014,ice cream
4831,16-08-2014,root vegetables
4620,23-06-2014,berries
1316,31-05-2014,bottled beer
1116,06-03-2014,other vegetables
2746,20-05-2014,frozen meals
3258,10-04-2014,white wine
1193,16-02-2014,soda
2602,18-04-2014,tropical fruit
1098,19-07-2014,tropical fruit
4733,09-11-2014,pip fruit
3920,23-02-2014,pastry
3255,23-01-2014,bottled beer
2713,21-05-2014,frozen meals
4068,29-06-2014,onions
2369,07-01-2014,beef
1547,09-03-2014,whole milk
3183,24-09-2014,pork
3484,04-07-2014,newspapers
3226,22-07-2014,meat spreads
4437,03-12-2014,whipped/sour cream
1908,12-06-2014,whole milk
3678,23-01-2014,curd
2076,06-09-2014,hygiene articles
2175,26-12-2014,chicken
4582,23-04-2014,bottled beer
1852,08-09-2014,cake bar
2148,25-01-2014,soda
3898,25-08-2014,beef
4009,19-02-2014,frozen vegetables
1527,15-04-2014,spices
4269,30-12-2014,finished products
1998,14-06-2014,citrus fruit
1230,17-12-2014,soda
2142,25-10-2014,tropical fruit
2897,07-11-2014,mustard
3288,20-04-2014,bottled water
2155,03-06-2014,pip fruit
2049,02-09-2014,ham
4663,18-04-2014,canned beer
3521,10-10-2014,yogurt
4407,06-06-2014,misc. beverages
3526,18-05-2014,domestic eggs
3005,18-04-2014,specialty chocolate
3083,29-03-2014,tropical fruit
4046,29-12-2014,root vegetables
2332,18-07-2014,seasonal products
4376,01-08-2014,pork
2578,30-01-2014,frozen fish
4089,15-03-2014,ice cream
4674,18-02-2014,seasonal products
3639,05-01-2014,sweet spreads
4160,05-09-2014,chocolate
2766,01-12-2014,pork
1754,07-06-2014,pastry
3550,06-12-2014,salty snack
1736,30-09-2014,whole milk
1315,11-12-2014,tropical fruit
3633,12-10-2014,soda
3425,15-12-2014,tropical fruit
2697,07-07-2014,coffee
3659,12-11-2014,pork
1466,16-05-2014,chocolate
4440,12-02-2014,other vegetables
1280,17-04-2014,spices
4375,30-10-2014,female sanitary products
3208,10-12-2014,root vegetables
4305,02-09-2014,tropical fruit
2525,04-03-2014,turkey
1498,23-08-2014,long life bakery product
4108,27-08-2014,specialty chocolate
3249,02-04-2014,dessert
2131,11-07-2014,yogurt
4886,21-08-2014,dessert
1023,22-05-2014,male cosmetics
2875,30-04-2014,brown bread
3407,16-12-2014,coffee
1632,29-05-2014,root vegetables
2668,01-12-2014,whole milk
3745,25-05-2014,specialty cheese
1712,12-04-2014,cream cheese 
4009,21-12-2014,butter
4522,04-10-2014,canned beer
4852,24-01-2014,condensed milk
3862,26-12-2014,bottled water
3538,28-11-2014,yogurt
3821,14-12-2014,tropical fruit
1889,20-06-2014,ketchup
3963,01-06-2014,candy
1478,07-07-2014,chicken
2788,17-04-2014,dessert
3822,23-12-2014,yogurt
1728,18-10-2014,root vegetables
3016,23-05-2014,other vegetables
2018,13-04-2014,frozen potato products
3139,23-01-2014,citrus fruit
2823,07-08-2014,pastry
1820,23-01-2014,root vegetables
1596,10-09-2014,pot plants
3333,12-05-2014,yogurt
2408,02-08-2014,beverages
1303,27-09-2014,pip fruit
2835,11-08-2014,root vegetables
1921,17-08-2014,tropical fruit
3313,23-11-2014,whole milk
2772,04-04-2014,pet care
1929,03-02-2014,pasta
3066,17-10-2014,fruit/vegetable juice
4176,25-09-2014,whole milk
1544,18-03-2014,tropical fruit
3479,07-06-2014,turkey
2321,06-02-2014,pip fruit
2076,14-01-2014,softener
3761,25-12-2014,whole milk
2229,07-10-2014,pip fruit
3612,12-03-2014,margarine
4842,25-03-2014,yogurt
2725,05-01-2014,whole milk
1917,26-01-2014,sausage
2276,29-11-2014,tropical fruit
3964,30-01-2014,root vegetables
4469,13-09-2014,pork
1307,29-08-2014,whole milk
3343,11-02-2014,berries
1903,15-08-2014,whole milk
3354,11-12-2014,berries
2580,03-04-2014,whipped/sour cream
2685,11-02-2014,citrus fruit
1761,18-10-2014,whole milk
3475,01-09-2014,whole milk
2758,07-12-2014,rolls/buns
1450,08-12-2014,specialty bar
2832,07-07-2014,whole milk
2709,18-05-2014,other vegetables
1820,11-01-2014,citrus fruit
2186,19-06-2014,bottled water
2341,23-03-2014,roll products 
3386,10-05-2014,root vegetables
2160,07-11-2014,whole milk
2754,20-11-2014,soda
3280,07-06-2014,beef
2578,07-11-2014,other vegetables
1822,04-03-2014,onions
3644,16-04-2014,yogurt
4144,08-01-2014,whole milk
4464,23-01-2014,rolls/buns
1530,11-10-2014,long life bakery product
2730,17-03-2014,rolls/buns
4983,14-07-2014,other vegetables
2847,13-06-2014,ham
4941,13-08-2014,meat
3842,03-03-2014,frozen vegetables
3005,26-07-2014,beverages
2218,25-12-2014,whole milk
1797,14-11-2014,root vegetables
1870,17-06-2014,citrus fruit
2107,24-02-2014,other vegetables
1211,09-11-2014,butter
3397,07-10-2014,bottled beer
4260,01-01-2014,soda
4416,30-07-2014,brown bread
4094,22-01-2014,onions
2813,20-12-2014,other vegetables
2001,14-11-2014,beef
3631,12-09-2014,root vegetables
4922,21-04-2014,bottled water
1102,14-02-2014,root vegetables
4274,24-02-2014,beef
1022,25-03-2014,whole milk
4433,16-02-2014,whole milk
4567,31-05-2014,bottled water
3793,26-05-2014,whole milk
4448,11-06-2014,citrus fruit
3491,19-06-2014,tropical fruit
1684,17-02-2014,white wine
3250,19-10-2014,soda
3306,05-02-2014,root vegetables
3923,19-12-2014,root vegetables
1099,18-07-2014,pip fruit
1005,09-01-2014,rolls/buns
2593,13-04-2014,newspapers
1657,04-03-2014,frozen potato products
4059,13-06-2014,UHT-milk
2094,02-03-2014,whole milk
1124,23-08-2014,yogurt
2967,23-01-2014,canned beer
4685,16-07-2014,hamburger meat
3254,02-03-2014,whole milk
2151,15-08-2014,berries
2950,17-10-2014,whole milk
2497,06-08-2014,sausage
3034,14-12-2014,beef
1269,14-04-2014,rolls/buns
3127,03-12-2014,whipped/sour cream
3614,06-01-2014,other vegetables
1233,28-08-2014,other vegetables
3063,13-12-2014,canned beer
3410,22-02-2014,packaged fruit/vegetables
2070,20-12-2014,pot plants
1975,09-01-2014,rolls/buns
3912,08-12-2014,yogurt
1544,24-04-2014,root vegetables
1508,28-09-2014,rolls/buns
3342,06-09-2014,specialty fat
2964,22-09-2014,tropical fruit
1752,23-11-2014,newspapers
4908,08-05-2014,tropical fruit
2559,31-07-2014,pork
3926,10-02-2014,onions
2975,27-03-2014,root vegetables
3443,26-09-2014,sausage
4712,07-09-2014,pip fruit
2041,09-05-2014,margarine
4718,08-03-2014,citrus fruit
3584,18-11-2014,hamburger meat
4691,08-05-2014,whole milk
4226,08-09-2014,butter
3221,30-01-2014,salty snack
3874,19-07-2014,bottled beer
1866,09-02-2014,roll products 
3139,26-06-2014,other vegetables
4131,02-07-2014,onions
2961,31-07-2014,onions
3651,09-09-2014,spread cheese
4137,25-06-2014,hamburger meat
4997,05-01-2014,whole milk
3348,30-03-2014,other vegetables
4700,19-10-2014,other vegetables
3190,26-08-2014,butter milk
4772,02-06-2014,whole milk
2070,29-03-2014,pip fruit
2512,19-12-2014,other vegetables
3783,07-11-2014,other vegetables
3681,09-06-2014,margarine
1620,27-02-2014,bottled water
1580,19-05-2014,citrus fruit
4268,12-07-2014,cream cheese 
1770,01-07-2014,butter
1077,17-07-2014,pastry
2310,22-04-2014,whole milk
1879,08-11-2014,yogurt
2293,30-07-2014,cereals
3324,07-05-2014,ice cream
2149,16-08-2014,hamburger meat
4380,12-08-2014,liquor
3268,23-01-2014,citrus fruit
2562,13-07-2014,other vegetables
4092,19-06-2014,berries
1486,02-12-2014,soda
2538,15-10-2014,whipped/sour cream
1254,03-03-2014,ham
2716,09-06-2014,curd
4101,27-11-2014,rolls/buns
4259,20-12-2014,domestic eggs
2252,08-08-2014,bottled beer
4705,18-02-2014,hard cheese
3882,15-08-2014,dessert
1919,06-12-2014,soft cheese
3915,09-08-2014,ham
1115,31-07-2014,turkey
1260,04-10-2014,pip fruit
3107,13-12-2014,meat
4196,03-02-2014,flower (seeds)
3303,10-01-2014,dessert
1575,20-09-2014,misc. beverages
3390,02-12-2014,whole milk
3487,22-05-2014,whipped/sour cream
4373,16-05-2014,nut snack
3348,29-10-2014,newspapers
2030,29-01-2014,soap
2836,04-10-2014,whole milk
3364,14-07-2014,chocolate
3366,28-05-2014,chewing gum
3929,10-01-2014,semi-finished bread
1017,21-02-2014,other vegetables
1456,12-08-2014,packaged fruit/vegetables
3344,21-01-2014,canned beer
4649,06-01-2014,other vegetables
4566,31-10-2014,misc. beverages
1922,07-01-2014,yogurt
3090,19-03-2014,processed cheese
3383,13-11-2014,other vegetables
3284,27-01-2014,dishes
3905,03-02-2014,ice cream
3768,31-07-2014,beef
3464,30-06-2014,margarine
2742,07-07-2014,other vegetables
2019,10-06-2014,citrus fruit
3131,03-12-2014,yogurt
3502,15-06-2014,UHT-milk
3077,01-04-2014,root vegetables
1298,26-07-2014,pastry
2740,16-06-2014,meat
2933,01-08-2014,soda
4650,12-07-2014,rolls/buns
3622,28-09-2014,pip fruit
4526,17-12-2014,soda
4467,11-12-2014,meat
1302,22-11-2014,root vegetables
2322,15-02-2014,pip fruit
2212,08-06-2014,butter
1905,31-01-2014,seasonal products
3413,27-10-2014,beverages
3437,07-11-2014,beef
2758,26-05-2014,UHT-milk
3942,18-04-2014,soda
2479,09-03-2014,canned beer
4773,16-12-2014,curd
4480,12-06-2014,misc. beverages
2562,17-05-2014,oil
2069,12-11-2014,canned fish
4646,11-12-2014,candy
4960,28-10-2014,hamburger meat
2278,15-03-2014,whipped/sour cream
1154,15-05-2014,female sanitary products
4536,11-05-2014,citrus fruit
2982,22-10-2014,tropical fruit
3098,29-05-2014,citrus fruit
1523,20-03-2014,bottled beer
1796,15-11-2014,whole milk
2086,02-12-2014,bottled water
1770,15-05-2014,specialty bar
2801,17-06-2014,whole milk
3848,16-01-2014,root vegetables
1682,18-01-2014,other vegetables
1793,30-09-2014,pip fruit
4831,29-07-2014,misc. beverages
3451,08-06-2014,semi-finished bread
1791,02-10-2014,pastry
1352,03-03-2014,tropical fruit
3003,22-04-2014,seasonal products
2067,03-07-2014,canned beer
2042,19-12-2014,curd
2303,30-07-2014,packaged fruit/vegetables
1768,22-07-2014,flower soil/fertilizer
2139,02-03-2014,other vegetables
1917,09-10-2014,pastry
1418,21-06-2014,soda
2134,17-01-2014,soda
3354,14-05-2014,sparkling wine
4109,05-12-2014,frozen vegetables
1377,11-12-2014,yogurt
4360,27-09-2014,chocolate
2590,27-08-2014,tropical fruit
2358,08-08-2014,UHT-milk
2191,22-10-2014,dessert
2719,18-12-2014,grapes
1908,29-10-2014,oil
1410,11-02-2014,bottled water
2815,05-08-2014,waffles
3304,15-11-2014,bottled beer
1608,14-01-2014,fruit/vegetable juice
1427,04-02-2014,whole milk
1709,22-08-2014,white bread
1342,20-08-2014,dessert
3593,11-03-2014,softener
1057,08-06-2014,tropical fruit
2288,16-10-2014,other vegetables
1922,07-11-2014,pastry
3166,22-06-2014,bottled water
3733,23-05-2014,white bread
1837,27-02-2014,pip fruit
2619,24-12-2014,other vegetables
1657,29-04-2014,frozen meals
3919,08-02-2014,canned beer
2354,20-08-2014,soda
4018,23-11-2014,soda
4968,05-11-2014,margarine
1050,15-02-2014,waffles
1540,27-11-2014,yogurt
1101,25-12-2014,brown bread
4354,30-07-2014,soda
2038,23-07-2014,pip fruit
2853,26-10-2014,other vegetables
4830,04-01-2014,soda
4434,29-11-2014,tropical fruit
2400,08-03-2014,napkins
3918,20-03-2014,brown bread
1062,26-01-2014,whole milk
1866,14-08-2014,butter
3389,20-07-2014,ice cream
3082,21-05-2014,whole milk
4363,30-05-2014,hygiene articles
1941,29-01-2014,whole milk
3932,07-05-2014,coffee
3787,02-03-2014,pip fruit
2196,28-06-2014,beef
1587,01-09-2014,hygiene articles
4066,01-11-2014,fruit/vegetable juice
2733,05-05-2014,whole milk
4656,19-06-2014,condensed milk
3107,12-12-2014,citrus fruit
1171,01-03-2014,soda
3321,19-04-2014,frozen fish
3908,27-04-2014,flour
2916,06-12-2014,pickled vegetables
2334,03-02-2014,yogurt
1736,10-09-2014,tropical fruit
2663,13-05-2014,bottled water
2689,27-08-2014,canned fish
1174,29-12-2014,root vegetables
3194,22-10-2014,pickled vegetables
1661,29-08-2014,tropical fruit
4956,20-11-2014,yogurt
3668,11-08-2014,citrus fruit
3816,24-10-2014,rolls/buns
3077,15-05-2014,pastry
2542,01-01-2014,sliced cheese
1245,12-07-2014,onions
3571,03-02-2014,dish cleaner
1427,12-02-2014,candy
3050,11-11-2014,butter
2550,27-02-2014,butter
3524,05-09-2014,hygiene articles
4626,02-07-2014,root vegetables
2178,14-04-2014,chicken
1526,21-07-2014,yogurt
3075,09-02-2014,coffee
1381,01-01-2014,curd
2361,04-01-2014,light bulbs
3507,09-08-2014,root vegetables
1225,03-03-2014,whole milk
4745,28-03-2014,soft cheese
4623,25-06-2014,bottled water
2727,29-05-2014,soda
4147,25-08-2014,whole milk
4223,20-03-2014,tropical fruit
2604,03-04-2014,whole milk
2591,10-12-2014,root vegetables
3662,16-02-2014,white wine
3719,03-10-2014,condensed milk
2535,01-04-2014,sausage
2323,06-09-2014,sliced cheese
2003,30-11-2014,liquor
4646,30-03-2014,whole milk
3277,31-10-2014,whole milk
1910,20-05-2014,rolls/buns
2521,22-03-2014,root vegetables
4510,22-10-2014,sausage
4451,23-11-2014,cream cheese 
3539,09-05-2014,yogurt
3206,07-07-2014,root vegetables
1748,12-03-2014,soda
4554,20-07-2014,whole milk
4449,25-09-2014,root vegetables
1932,02-08-2014,citrus fruit
4228,26-06-2014,other vegetables
1190,10-09-2014,whipped/sour cream
1814,28-06-2014,hamburger meat
1815,27-06-2014,onions
4637,28-08-2014,herbs
4712,14-12-2014,other vegetables
4539,31-03-2014,white wine
2388,19-11-2014,other vegetables
2131,22-09-2014,grapes
1422,26-02-2014,beef
1304,07-06-2014,hamburger meat
2269,26-05-2014,sliced cheese
4288,20-06-2014,citrus fruit
1061,23-10-2014,beverages
4093,08-07-2014,pip fruit
4937,30-09-2014,liquor
1384,28-09-2014,bottled water
3442,02-03-2014,rolls/buns
1446,02-09-2014,citrus fruit
3901,14-02-2014,rolls/buns
1002,09-02-2014,frozen vegetables
4437,04-11-2014,beef
3905,11-05-2014,other vegetables
2956,23-10-2014,other vegetables
3090,23-01-2014,other vegetables
3305,24-08-2014,whole milk
2893,16-04-2014,grapes
3916,22-05-2014,tropical fruit
1770,23-04-2014,other vegetables
1303,28-10-2014,tropical fruit
2846,26-10-2014,canned fish
4143,14-01-2014,pastry
3166,08-11-2014,dishes
2679,31-08-2014,rolls/buns
3229,16-11-2014,rolls/buns
4720,20-06-2014,tropical fruit
3227,21-07-2014,canned beer
2463,14-01-2014,berries
4079,18-03-2014,root vegetables
4234,10-06-2014,sliced cheese
4487,29-07-2014,oil
2925,25-08-2014,female sanitary products
2638,06-01-2014,root vegetables
3543,13-09-2014,rolls/buns
2763,18-05-2014,rolls/buns
1331,06-04-2014,tropical fruit
4338,09-10-2014,salty snack
3268,03-11-2014,canned fish
3985,22-06-2014,beverages
4659,22-01-2014,white wine
1838,19-06-2014,pip fruit
1652,19-06-2014,beef
3737,03-01-2014,instant coffee
1886,13-09-2014,curd
4784,28-10-2014,butter
4546,18-10-2014,other vegetables
1471,31-07-2014,yogurt
4084,19-04-2014,beef
2040,10-04-2014,newspapers
1797,18-01-2014,other vegetables
3076,22-02-2014,specialty chocolate
4975,10-02-2014,artif. sweetener
3526,10-07-2014,whole milk
4571,25-08-2014,UHT-milk
3476,02-04-2014,ice cream
4398,28-08-2014,onions
3115,22-09-2014,whole milk
2707,18-03-2014,whole milk
1774,15-09-2014,newspapers
2012,04-08-2014,bottled water
4981,26-02-2014,Instant food products
4427,09-01-2014,turkey
3499,02-12-2014,sausage
3020,08-12-2014,other vegetables
2854,15-07-2014,berries
3624,12-05-2014,root vegetables
3909,06-09-2014,red/blush wine
3517,20-07-2014,spread cheese
3499,16-08-2014,red/blush wine
4182,17-01-2014,whole milk
2379,01-06-2014,berries
2074,27-08-2014,other vegetables
2790,03-03-2014,semi-finished bread
4190,07-12-2014,canned beer
4938,01-09-2014,brown bread
4984,14-06-2014,snack products
4589,09-11-2014,tropical fruit
4932,21-03-2014,whole milk
2751,11-03-2014,rolls/buns
4663,13-03-2014,coffee
1460,07-05-2014,waffles
4986,06-10-2014,butter milk
1310,22-11-2014,newspapers
2161,04-05-2014,soda
1526,18-02-2014,domestic eggs
1026,18-06-2014,root vegetables
1041,07-07-2014,prosecco
3065,23-02-2014,yogurt
3846,11-07-2014,pickled vegetables
3672,30-09-2014,whole milk
3971,11-11-2014,bottled beer
1733,02-07-2014,zwieback
4289,05-09-2014,pickled vegetables
3200,07-09-2014,butter
1109,19-06-2014,chocolate
3224,10-06-2014,root vegetables
2851,14-11-2014,tropical fruit
4085,30-07-2014,yogurt
1654,06-04-2014,whole milk
3907,09-05-2014,other vegetables
4338,21-04-2014,dessert
4670,28-01-2014,mustard
3905,09-06-2014,rolls/buns
4443,31-01-2014,other vegetables
4667,04-09-2014,rolls/buns
4504,08-03-2014,onions
1328,06-06-2014,other vegetables
1442,28-02-2014,pip fruit
4269,29-06-2014,butter milk
4722,12-02-2014,hamburger meat
3151,13-10-2014,rolls/buns
4371,02-06-2014,chocolate
2068,22-08-2014,whole milk
4353,02-09-2014,rolls/buns
3851,03-08-2014,other vegetables
4743,15-05-2014,soda
4083,15-08-2014,newspapers
1125,09-12-2014,rolls/buns
2293,31-05-2014,pork
3365,17-10-2014,meat
2341,12-09-2014,Instant food products
3115,26-05-2014,frozen vegetables
4044,30-06-2014,coffee
1609,07-07-2014,pickled vegetables
1413,14-07-2014,ham
1469,28-08-2014,coffee
3546,09-09-2014,bottled beer
1752,13-04-2014,pip fruit
2836,20-10-2014,tropical fruit
1244,07-09-2014,UHT-milk
4183,20-11-2014,root vegetables
1492,05-11-2014,butter
2255,17-07-2014,curd
4525,13-11-2014,whole milk
2726,17-09-2014,house keeping products
1686,15-05-2014,brown bread
3808,05-03-2014,UHT-milk
3905,06-10-2014,soda
4523,01-09-2014,specialty chocolate
1770,14-09-2014,rolls/buns
1609,05-03-2014,whole milk
3678,21-06-2014,yogurt
4341,29-03-2014,rolls/buns
2758,18-05-2014,frozen meals
2867,09-05-2014,other vegetables
3329,28-08-2014,whole milk
2966,26-11-2014,pork
4345,16-07-2014,citrus fruit
2960,27-10-2014,whipped/sour cream
1247,08-06-2014,butter
2770,29-08-2014,soda
2914,09-10-2014,yogurt
3802,08-06-2014,specialty chocolate
2519,15-04-2014,specialty bar
3933,12-07-2014,waffles
4291,18-05-2014,root vegetables
3998,11-08-2014,yogurt
2395,04-06-2014,tropical fruit
1602,17-12-2014,other vegetables
1659,01-01-2014,specialty chocolate
3904,24-09-2014,beef
1493,22-10-2014,liquor
1840,07-10-2014,tropical fruit
4178,05-10-2014,soda
2165,27-10-2014,root vegetables
4618,11-01-2014,brown bread
2093,16-02-2014,whipped/sour cream
2215,21-03-2014,bottled beer
4779,29-01-2014,root vegetables
1939,02-02-2014,rolls/buns
4852,11-02-2014,brown bread
1173,18-04-2014,rolls/buns
4232,10-06-2014,whole milk
1870,15-07-2014,whole milk
2683,04-04-2014,beverages
2837,26-06-2014,frozen dessert
4364,24-09-2014,coffee
1842,03-11-2014,root vegetables
2036,27-08-2014,ice cream
1235,14-06-2014,canned beer
1935,17-07-2014,newspapers
3480,18-04-2014,other vegetables
2881,06-03-2014,domestic eggs
1237,16-10-2014,beverages
1755,19-01-2014,whole milk
4830,23-12-2014,whole milk
2162,25-05-2014,whole milk
1453,21-11-2014,hygiene articles
2139,13-04-2014,margarine
3987,31-08-2014,ham
3027,14-10-2014,fruit/vegetable juice
1241,11-01-2014,whole milk
